category_id,category_name,parent_id,level1,level2,level3
dds1,Power Tools,,Power Tools,,
dds2,Drills & Fastening Tools,dds1,Power Tools,Drills & Fastening Tools,
dds3,Drills,dds2,Power Tools,Drills & Fastening Tools,Drills
dds4,Hammer Drills,dds2,Power Tools,Drills & Fastening Tools,Hammer Drills
dds5,Impact Drivers,dds2,Power Tools,Drills & Fastening Tools,Impact Drivers
dds6,Impact Wrenches,dds2,Power Tools,Drills & Fastening Tools,Impact Wrenches
dds7,Screw Guns,dds2,Power Tools,Drills & Fastening Tools,Screw Guns
dds8,Saws & Cutting Tools,dds1,Power Tools,Saws & Cutting Tools,
dds9,Circular Saws,dds8,Power Tools,Saws & Cutting Tools,Circular Saws
dds10,Reciprocating Saws,dds8,Power Tools,Saws & Cutting Tools,Reciprocating Saws
dds11,Jig Saws,dds8,Power Tools,Saws & Cutting Tools,Jig Saws
dds12,Miter Saws,dds8,Power Tools,Saws & Cutting Tools,Miter Saws
dds13,Track Saws,dds8,Power Tools,Saws & Cutting Tools,Track Saws
dds14,Portable Band Saws,dds8,Power Tools,Saws & Cutting Tools,Portable Band Saws
dds15,Cut-Off Saws,dds8,Power Tools,Saws & Cutting Tools,Cut-Off Saws
dds16,"Grinding, Sanding & Finishing",dds1,Power Tools,"Grinding, Sanding & Finishing",
dds17,Angle Grinders,dds16,Power Tools,"Grinding, Sanding & Finishing",Angle Grinders
dds18,Die Grinders,dds16,Power Tools,"Grinding, Sanding & Finishing",Die Grinders
dds19,Sanders,dds16,Power Tools,"Grinding, Sanding & Finishing",Sanders
dds20,Polishers,dds16,Power Tools,"Grinding, Sanding & Finishing",Polishers
dds21,Buffers,dds16,Power Tools,"Grinding, Sanding & Finishing",Buffers
dds22,Outdoor Power Equipment,dds1,Power Tools,Outdoor Power Equipment,
dds23,Pressure Washers,dds22,Power Tools,Outdoor Power Equipment,Pressure Washers
dds24,Blowers,dds22,Power Tools,Outdoor Power Equipment,Blowers
dds25,String Trimmers,dds22,Power Tools,Outdoor Power Equipment,String Trimmers
dds26,Hedge Trimmers,dds22,Power Tools,Outdoor Power Equipment,Hedge Trimmers
dds27,Chainsaws,dds22,Power Tools,Outdoor Power Equipment,Chainsaws
dds28,Specialty Power Tools,dds1,Power Tools,Specialty Power Tools,
dds29,Oscillating Multi-Tools,dds28,Power Tools,Specialty Power Tools,Oscillating Multi-Tools
dds30,Heat Guns,dds28,Power Tools,Specialty Power Tools,Heat Guns
dds31,Power Planers,dds28,Power Tools,Specialty Power Tools,Power Planers
dds32,Power Shears,dds28,Power Tools,Specialty Power Tools,Power Shears
dds33,Power Nibblers,dds28,Power Tools,Specialty Power Tools,Power Nibblers
dds34,Mixers,dds28,Power Tools,Specialty Power Tools,Mixers
dds35,Jump Starters,dds28,Power Tools,Specialty Power Tools,Jump Starters
dds36,Power Tool Kits,dds1,Power Tools,Power Tool Kits,
dds37,Combo Kits,dds36,Power Tools,Power Tool Kits,Combo Kits
dds38,Concrete & Masonry Tools,dds1,Power Tools,Concrete & Masonry Tools,
dds39,Rotary Hammers,dds38,Power Tools,Concrete & Masonry Tools,Rotary Hammers
dds40,Demolition Hammers,dds38,Power Tools,Concrete & Masonry Tools,Demolition Hammers
dds41,Concrete Breakers,dds38,Power Tools,Concrete & Masonry Tools,Concrete Breakers
dds42,Electric Jackhammers,dds38,Power Tools,Concrete & Masonry Tools,Electric Jackhammers
dds43,Concrete Vibrators,dds38,Power Tools,Concrete & Masonry Tools,Concrete Vibrators
dds44,Concrete Mixers,dds38,Power Tools,Concrete & Masonry Tools,Concrete Mixers
dds45,Rebar Cutters & Benders,dds38,Power Tools,Concrete & Masonry Tools,Rebar Cutters & Benders
dds46,Hand Tools,,Hand Tools,,
dds47,Striking Tools,dds46,Hand Tools,Striking Tools,
dds48,Hammers,dds47,Hand Tools,Striking Tools,Hammers
dds49,Mallets,dds47,Hand Tools,Striking Tools,Mallets
dds50,Sledgehammers,dds47,Hand Tools,Striking Tools,Sledgehammers
dds51,Dead Blow Hammers,dds47,Hand Tools,Striking Tools,Dead Blow Hammers
dds52,Wrenches & Ratcheting Tools,dds46,Hand Tools,Wrenches & Ratcheting Tools,
dds53,Combination Wrenches,dds52,Hand Tools,Wrenches & Ratcheting Tools,Combination Wrenches
dds54,Open-End Wrenches,dds52,Hand Tools,Wrenches & Ratcheting Tools,Open-End Wrenches
dds55,Box-End Wrenches,dds52,Hand Tools,Wrenches & Ratcheting Tools,Box-End Wrenches
dds56,Adjustable Wrenches,dds52,Hand Tools,Wrenches & Ratcheting Tools,Adjustable Wrenches
dds57,Ratcheting Wrenches,dds52,Hand Tools,Wrenches & Ratcheting Tools,Ratcheting Wrenches
dds58,Torque Wrenches,dds52,Hand Tools,Wrenches & Ratcheting Tools,Torque Wrenches
dds59,Sockets & Accessories,dds46,Hand Tools,Sockets & Accessories,
dds60,Socket Sets,dds59,Hand Tools,Sockets & Accessories,Socket Sets
dds61,Individual Sockets,dds59,Hand Tools,Sockets & Accessories,Individual Sockets
dds62,Extensions,dds59,Hand Tools,Sockets & Accessories,Extensions
dds63,Adapters,dds59,Hand Tools,Sockets & Accessories,Adapters
dds64,Universal Joints,dds59,Hand Tools,Sockets & Accessories,Universal Joints
dds65,Pliers & Cutting Tools,dds46,Hand Tools,Pliers & Cutting Tools,
dds66,Pliers,dds65,Hand Tools,Pliers & Cutting Tools,Pliers
dds67,Needle-Nose Pliers,dds65,Hand Tools,Pliers & Cutting Tools,Needle-Nose Pliers
dds68,Slip-Joint Pliers,dds65,Hand Tools,Pliers & Cutting Tools,Slip-Joint Pliers
dds69,Locking Pliers,dds65,Hand Tools,Pliers & Cutting Tools,Locking Pliers
dds70,Wire Cutters,dds65,Hand Tools,Pliers & Cutting Tools,Wire Cutters
dds71,Bolt Cutters,dds65,Hand Tools,Pliers & Cutting Tools,Bolt Cutters
dds72,Screwdrivers & Hex Keys,dds46,Hand Tools,Screwdrivers & Hex Keys,
dds73,Screwdrivers,dds72,Hand Tools,Screwdrivers & Hex Keys,Screwdrivers
dds74,Nut Drivers,dds72,Hand Tools,Screwdrivers & Hex Keys,Nut Drivers
dds75,Hex Keys,dds72,Hand Tools,Screwdrivers & Hex Keys,Hex Keys
dds76,Torx Keys,dds72,Hand Tools,Screwdrivers & Hex Keys,Torx Keys
dds77,Measuring & Layout Tools,dds46,Hand Tools,Measuring & Layout Tools,
dds78,Tape Measures,dds77,Hand Tools,Measuring & Layout Tools,Tape Measures
dds79,Levels,dds77,Hand Tools,Measuring & Layout Tools,Levels
dds80,Squares,dds77,Hand Tools,Measuring & Layout Tools,Squares
dds81,Calipers,dds77,Hand Tools,Measuring & Layout Tools,Calipers
dds82,Chalk lines,dds77,Hand Tools,Measuring & Layout Tools,Chalk lines
dds83,Chalk,dds77,Hand Tools,Measuring & Layout Tools,Chalk
dds84,Marking pencils,dds77,Hand Tools,Measuring & Layout Tools,Marking pencils
dds85,Markers,dds77,Hand Tools,Measuring & Layout Tools,Markers
dds86,Clamping & Vises,dds46,Hand Tools,Clamping & Vises,
dds87,Bar Clamps,dds86,Hand Tools,Clamping & Vises,Bar Clamps
dds88,C-Clamps,dds86,Hand Tools,Clamping & Vises,C-Clamps
dds89,Spring Clamps,dds86,Hand Tools,Clamping & Vises,Spring Clamps
dds90,Bench Vises,dds86,Hand Tools,Clamping & Vises,Bench Vises
dds91,Hand Vises,dds86,Hand Tools,Clamping & Vises,Hand Vises
dds92,Cutting & Shaping Tools,dds46,Hand Tools,Cutting & Shaping Tools,
dds93,Hand Saws,dds92,Hand Tools,Cutting & Shaping Tools,Hand Saws
dds94,Chisels,dds92,Hand Tools,Cutting & Shaping Tools,Chisels
dds95,Files,dds92,Hand Tools,Cutting & Shaping Tools,Files
dds96,Rasps,dds92,Hand Tools,Cutting & Shaping Tools,Rasps
dds97,Snips,dds92,Hand Tools,Cutting & Shaping Tools,Snips
dds98,Pry Bars & Lifting Tools,dds46,Hand Tools,Pry Bars & Lifting Tools,
dds99,Pry Bars,dds98,Hand Tools,Pry Bars & Lifting Tools,Pry Bars
dds100,Wrecking Bars,dds98,Hand Tools,Pry Bars & Lifting Tools,Wrecking Bars
dds101,Crowbars,dds98,Hand Tools,Pry Bars & Lifting Tools,Crowbars
dds102,Manual Jacks,dds98,Hand Tools,Pry Bars & Lifting Tools,Manual Jacks
dds103,Power Tool Accessories,,Power Tool Accessories,,
dds104,Blades & Abrasives,dds103,Power Tool Accessories,Blades & Abrasives,
dds105,Circular Saw Blades,dds104,Power Tool Accessories,Blades & Abrasives,Circular Saw Blades
dds106,Reciprocating Saw Blades,dds104,Power Tool Accessories,Blades & Abrasives,Reciprocating Saw Blades
dds107,Jig Saw Blades,dds104,Power Tool Accessories,Blades & Abrasives,Jig Saw Blades
dds108,Band Saw Blades,dds104,Power Tool Accessories,Blades & Abrasives,Band Saw Blades
dds109,Grinding Wheels,dds104,Power Tool Accessories,Blades & Abrasives,Grinding Wheels
dds110,Cut-Off Wheels,dds104,Power Tool Accessories,Blades & Abrasives,Cut-Off Wheels
dds111,Sanding Discs,dds104,Power Tool Accessories,Blades & Abrasives,Sanding Discs
dds112,Flap Discs,dds104,Power Tool Accessories,Blades & Abrasives,Flap Discs
dds113,Wire Wheels,dds104,Power Tool Accessories,Blades & Abrasives,Wire Wheels
dds114,Drilling Accessories,dds103,Power Tool Accessories,Drilling Accessories,
dds115,Twist Drill Bits,dds114,Power Tool Accessories,Drilling Accessories,Twist Drill Bits
dds116,Masonry Bits,dds114,Power Tool Accessories,Drilling Accessories,Masonry Bits
dds117,Step Bits,dds114,Power Tool Accessories,Drilling Accessories,Step Bits
dds118,Hole Saws,dds114,Power Tool Accessories,Drilling Accessories,Hole Saws
dds119,Auger Bits,dds114,Power Tool Accessories,Drilling Accessories,Auger Bits
dds120,Fastening Accessories,dds103,Power Tool Accessories,Fastening Accessories,
dds121,Driver Bits,dds120,Power Tool Accessories,Fastening Accessories,Driver Bits
dds122,Bit Holders,dds120,Power Tool Accessories,Fastening Accessories,Bit Holders
dds123,Nut Setters,dds120,Power Tool Accessories,Fastening Accessories,Nut Setters
dds124,Extensions,dds120,Power Tool Accessories,Fastening Accessories,Extensions
dds125,Batteries & Chargers,dds103,Power Tool Accessories,Batteries & Chargers,
dds126,Tool Batteries,dds125,Power Tool Accessories,Batteries & Chargers,Tool Batteries
dds127,Battery Chargers,dds125,Power Tool Accessories,Batteries & Chargers,Battery Chargers
dds128,Power Cords & Adapters,dds125,Power Tool Accessories,Batteries & Chargers,Power Cords & Adapters
dds129,Replacement Parts & Consumables,dds103,Power Tool Accessories,Replacement Parts & Consumables,
dds130,Carbon Brushes,dds129,Power Tool Accessories,Replacement Parts & Consumables,Carbon Brushes
dds131,Drive Belts,dds129,Power Tool Accessories,Replacement Parts & Consumables,Drive Belts
dds132,Filters,dds129,Power Tool Accessories,Replacement Parts & Consumables,Filters
dds133,Lubrication,dds129,Power Tool Accessories,Replacement Parts & Consumables,Lubrication
dds134,Replacement Parts,dds129,Power Tool Accessories,Replacement Parts & Consumables,Replacement Parts
dds135,Air Tools & Compressors,,Air Tools & Compressors,,
dds136,Air Compressors,dds135,Air Tools & Compressors,Air Compressors,
dds137,Portable Air Compressors,dds136,Air Tools & Compressors,Air Compressors,Portable Air Compressors
dds138,Stationary Air Compressors,dds136,Air Tools & Compressors,Air Compressors,Stationary Air Compressors
dds139,Pneumatic Fastening Tools,dds135,Air Tools & Compressors,Pneumatic Fastening Tools,
dds140,Air Nailers,dds139,Air Tools & Compressors,Pneumatic Fastening Tools,Air Nailers
dds141,Air Staplers,dds139,Air Tools & Compressors,Pneumatic Fastening Tools,Air Staplers
dds142,Air Impact Wrenches,dds139,Air Tools & Compressors,Pneumatic Fastening Tools,Air Impact Wrenches
dds143,Air Ratchets,dds139,Air Tools & Compressors,Pneumatic Fastening Tools,Air Ratchets
dds144,Air Rivet Guns,dds139,Air Tools & Compressors,Pneumatic Fastening Tools,Air Rivet Guns
dds145,Pneumatic Cutting Tools,dds135,Air Tools & Compressors,Pneumatic Cutting Tools,
dds146,Air Cut-Off Tools,dds145,Air Tools & Compressors,Pneumatic Cutting Tools,Air Cut-Off Tools
dds147,Air Reciprocating Saws,dds145,Air Tools & Compressors,Pneumatic Cutting Tools,Air Reciprocating Saws
dds148,Air Shears,dds145,Air Tools & Compressors,Pneumatic Cutting Tools,Air Shears
dds149,Air Nibblers,dds145,Air Tools & Compressors,Pneumatic Cutting Tools,Air Nibblers
dds150,Pneumatic Grinding & Finishing,dds135,Air Tools & Compressors,Pneumatic Grinding & Finishing,
dds151,Air Die Grinders,dds150,Air Tools & Compressors,Pneumatic Grinding & Finishing,Air Die Grinders
dds152,Air Angle Grinders,dds150,Air Tools & Compressors,Pneumatic Grinding & Finishing,Air Angle Grinders
dds153,Air Sanders,dds150,Air Tools & Compressors,Pneumatic Grinding & Finishing,Air Sanders
dds154,Air Polishers,dds150,Air Tools & Compressors,Pneumatic Grinding & Finishing,Air Polishers
dds155,Air Tool Accessories,dds135,Air Tools & Compressors,Air Tool Accessories,
dds156,Air Hoses,dds155,Air Tools & Compressors,Air Tool Accessories,Air Hoses
dds157,Hose Reels,dds155,Air Tools & Compressors,Air Tool Accessories,Hose Reels
